#NetworkNum	ID	MatchName	Solvent	AmbiguityScore	Hitscore	CoverageScore	MatchedConnections	UnmatchedConnections
Network9	bmse000382	N_Acetyl_L_glutamic_acid	D2O	0.0	0.2	1.0	CX1-CX2->C8-C7,	
Network9	bmse000707	N_acetyl_histidine	D2O	0.0	0.2	1.0	CX1-CX2->C8-C7,	
Network9	bmse000711	L_arginine	D2O	0.0	0.25	1.0	CX1-CX2->C5-C2,	
Network9	bmse000858	L_citrulline	D2O	0.0	0.25	1.0	CX1-CX2->C6-C4,	
Network9	bmse000897	D_ornithine	D2O	0.0	0.25	1.0	CX1-CX2->C3-C2,	
Network10	bmse000308	2_Aminoethyl_dihydrogen_phosphate	D2O	0.0	1.0	1.0	CX2-CX1->C7-C8,	
Network11	bmse000276	Ethanolamine	D2O	0.0	1.0	1.0	CX2-CX1->C3-C4,	
Network13	bmse010517	lignin_cw_compound_3012	Acetone	1.0	0.25	1.0	CX2-CX1->C29-C18,	
Network14	bmse000371	diethanolamine	D2O	0.0	0.5	1.0	CX1-CX2->C5-C7,	
Network14	bmse000706	L_cysteinesulfinic_acid	D2O	0.0	0.5	1.0	CX1-CX2->C7-C8,	
Network15	bmse000202	HEPES	D2O	0.0	0.25	0.667	CX3-CX3->C9-C9,CX3-CX1->C9-C11,	CX3-CX2->C9-?,
Network15	bmse000877	HEPES	D2O	0.0	0.25	0.667	CX3-CX3->C9-C9,CX3-CX1->C9-C11,	CX3-CX2->C9-?,
Network21	bmse000029	L_arginine	D2O	0.0	0.25	1.0	CX1-CX2->C2-C3,	
Network21	bmse000032	L_citrulline	D2O	0.0	0.25	1.0	CX1-CX2->C4-C1,	
Network21	bmse000037	L_glutamic_acid	D2O	0.0	0.25	1.0	CX1-CX2->C4-C1,	
Network21	bmse000043	L_lysine	D2O	0.0	0.2	1.0	CX1-CX2->C2-C3,	
Network21	bmse000169	L_selenomethionine	D2O	0.0	0.333	1.0	CX1-CX2->C2-C3,	
Network21	bmse000209	D_citrulline	D2O	0.0	0.25	1.0	CX1-CX2->C6-C2,	
Network21	bmse000291	Selenomethionine	D2O	0.0	0.333	1.0	CX1-CX2->C5-C9,	
Network21	bmse000390	DL_2_Aminobutyric_acid	D2O	0.0	0.333	1.0	CX1-CX2->C4-C7,	
Network21	bmse000411	L_Norleucine	D2O	0.0	0.2	1.0	CX1-CX2->C6-C9,	
Network21	bmse000429	DL_2_Aminoadipic_acid	D2O	0.0	0.2	1.0	CX1-CX2->C8-C10,	
Network21	bmse000442	L_homocitrulline	D2O	0.0	0.2	1.0	CX1-CX2->C10-C12,	
Network21	bmse000711	L_arginine	D2O	0.0	0.25	1.0	CX1-CX2->C2-C3,	
Network21	bmse000745	homoarginine	D2O	0.0	0.2	1.0	CX1-CX2->C10-C12,	
Network21	bmse000858	L_citrulline	D2O	0.0	0.25	1.0	CX1-CX2->C4-C1,	
Network22	bmse000285	Choline	D2O	0.8	1.0	0.667	CX3-CX1->C4-C3,CX3-CX3->C4-C4,	CX2-CX3->?-?,
Network22	bmse000953	Choline	D2O	0.8	1.0	0.667	CX3-CX1->C4-C3,CX3-CX3->C4-C4,	CX2-CX3->?-?,
Network23	bmse000440	D_Glucosaminic_acid	D2O	0.0	0.2	1.0	CX2-CX1->C11-C9,	
Network24	bmse000440	D_Glucosaminic_acid	D2O	0.0	0.2	1.0	CX2-CX1->C11-C9,	
Network27	bmse000047	L_proline	D2O	0.0	0.25	1.0	CX1-CX2->C3-C2,	
Network27	bmse000052	L_valine	D2O	0.4	0.25	1.0	CX1-CX2->C3-C2,	
Network27	bmse000860	L_valine	D2O	0.4	0.25	1.0	CX1-CX2->C3-C2,	
Network27	bmse000947	L_proline	D2O	0.0	0.25	1.0	CX1-CX2->C3-C2,	
